                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.40411,                0.76648,                0.94555,                0.80615,                0.96165,                0.95438,                0.72931,                0.88016,                0.60379,                  1.334,             0.00084754,             0.00084754,             0.00084754
                     79,                0.40391,                0.77345,                0.94074,                0.63753,                0.87338,                0.89994,                 0.6944,                0.94699,                0.86427,                 1.3563,             0.00084556,             0.00084556,             0.00084556
                     80,                0.40847,                0.77325,                0.95204,                0.73417,                0.94444,                0.96601,                0.75119,                0.87964,                0.71007,                 1.3146,             0.00084358,             0.00084358,             0.00084358
                     81,                0.39509,                0.80142,                0.94468,                0.84742,                0.90315,                0.94332,                0.74003,                0.85563,                0.58652,                 1.3207,              0.0008416,              0.0008416,              0.0008416
                     82,                0.39285,                0.78893,                0.94632,                0.80892,                0.97222,                 0.9642,                  0.762,                0.87251,                0.59046,                 1.3559,             0.00083962,             0.00083962,             0.00083962
                     83,                0.39678,                0.75927,                0.95206,                0.81257,                0.93068,                0.94572,                0.74696,                0.90182,                0.66863,                 1.3281,             0.00083764,             0.00083764,             0.00083764
                     84,                0.42857,                0.82136,                0.95498,                0.87089,                0.96206,                0.98082,                0.79217,                 0.7913,                0.52832,                 1.2665,             0.00083566,             0.00083566,             0.00083566
                     85,                0.38925,                0.74555,                0.94667,                0.80219,                0.95117,                0.92703,                0.73479,                0.88711,                0.63406,                 1.3486,             0.00083368,             0.00083368,             0.00083368
                     86,                0.40887,                0.76525,                0.93105,                 0.7376,                0.97222,                0.93284,                0.74415,                0.85729,                0.60747,                 1.3141,              0.0008317,              0.0008317,              0.0008317
                     87,                0.40207,                0.78901,                0.94052,                0.69943,                0.90547,                0.89982,                0.71896,                0.83738,                0.69101,                  1.355,             0.00082972,             0.00082972,             0.00082972
                     88,                0.42191,                0.74879,                0.95225,                0.81252,                 0.8571,                0.92639,                0.74168,                0.78765,                0.66964,                  1.271,             0.00082774,             0.00082774,             0.00082774
                     89,                0.39493,                0.71787,                0.93077,                0.84202,                0.87607,                0.92391,                0.73544,                0.80832,                0.66311,                 1.2607,             0.00082576,             0.00082576,             0.00082576
                     90,                0.38613,                0.75884,                0.93708,                0.68207,                0.85093,                0.88634,                0.70309,                0.81855,                0.69741,                 1.2523,             0.00082378,             0.00082378,             0.00082378
                     91,                0.38887,                0.75595,                0.94104,                 0.7396,                0.93977,                0.94369,                 0.7579,                0.81689,                0.61864,                  1.258,              0.0008218,              0.0008218,              0.0008218
                     92,                0.40984,                0.77573,                0.94205,                0.73176,                0.92453,                0.93389,                0.74398,                0.83862,                0.61656,                 1.2909,             0.00081982,             0.00081982,             0.00081982
                     93,                0.37818,                0.72877,                0.93068,                0.78533,                0.96258,                0.95168,                 0.7598,                  0.838,                 0.5582,                 1.2836,             0.00081784,             0.00081784,             0.00081784
                     94,                0.39164,                0.76904,                0.94125,                0.73477,                0.93856,                0.95806,                 0.7955,                0.75691,                0.61925,                 1.1795,             0.00081586,             0.00081586,             0.00081586
                     95,                0.38338,                 0.7384,                0.94855,                0.89246,                0.89702,                0.96717,                0.77239,                 0.8224,                0.60774,                 1.2663,             0.00081388,             0.00081388,             0.00081388
                     96,                0.38494,                0.75292,                0.93772,                0.85834,                0.87629,                0.95265,                0.75272,                0.83971,                0.63708,                 1.2885,              0.0008119,              0.0008119,              0.0008119
                     97,                0.38667,                0.70695,                0.92916,                0.89106,                0.92867,                0.97762,                0.78036,                0.83323,                0.57609,                 1.3068,             0.00080992,             0.00080992,             0.00080992
                     98,                0.37525,                0.69797,                0.93267,                0.82548,                0.95065,                 0.9564,                0.78431,                0.76951,                0.54521,                 1.2275,             0.00080794,             0.00080794,             0.00080794
                     99,                0.36681,                0.69608,                0.92231,                0.88487,                0.86567,                0.93809,                0.77841,                0.78265,                0.62181,                 1.2046,             0.00080596,             0.00080596,             0.00080596
                    100,                0.39213,                0.76106,                0.93523,                0.78177,                0.89473,                0.91716,                0.70886,                0.93681,                0.63634,                 1.3461,             0.00080398,             0.00080398,             0.00080398
                    101,                0.36116,                0.72815,                0.94237,                 0.9455,                0.91667,                 0.9603,                0.75528,                0.87122,                0.54881,                 1.2857,               0.000802,               0.000802,               0.000802
                    102,                0.36657,                0.71711,                0.92889,                 0.7596,                0.95428,                0.93056,                0.75671,                0.77912,                0.63254,                 1.2248,             0.00080002,             0.00080002,             0.00080002
                    103,                0.39259,                0.70775,                0.92997,                0.85046,                 0.8782,                0.94695,                0.76636,                0.76758,                0.61115,                  1.299,             0.00079804,             0.00079804,             0.00079804
                    104,                0.37535,                0.68527,                0.92649,                0.85054,                0.96887,                0.97276,                0.75735,                0.90058,                0.56845,                 1.4002,             0.00079606,             0.00079606,             0.00079606
                    105,                 0.3532,                0.69886,                0.92482,                0.79175,                0.98014,                0.97693,                0.77125,                0.79882,                0.56445,                 1.2998,             0.00079408,             0.00079408,             0.00079408
                    106,                0.38371,                0.70525,                0.94339,                0.85133,                0.97222,                0.95938,                0.75513,                 0.8532,                0.55276,                 1.3283,              0.0007921,              0.0007921,              0.0007921
                    107,                 0.3705,                0.71673,                0.92356,                0.88565,                0.90732,                0.96573,                0.74509,                0.92377,                0.56446,                 1.2737,             0.00079012,             0.00079012,             0.00079012
                    108,                0.35001,                0.70123,                0.91158,                0.91031,                0.89847,                0.95877,                0.78154,                0.75283,                0.50389,                 1.2412,             0.00078814,             0.00078814,             0.00078814
                    109,                0.36461,                0.66819,                0.92088,                0.90194,                 0.8967,                0.94884,                0.72976,                0.86284,                0.51919,                 1.3185,             0.00078616,             0.00078616,             0.00078616
                    110,                0.37322,                0.67616,                0.92474,                0.92347,                0.92977,                0.96218,                0.76411,                0.80786,                0.51807,                 1.2374,             0.00078418,             0.00078418,             0.00078418
                    111,                0.35499,                0.63659,                0.92748,                0.83719,                0.95861,                0.97199,                0.75711,                 0.8411,                  0.544,                 1.2438,              0.0007822,              0.0007822,              0.0007822
                    112,                0.36261,                0.67293,                0.92656,                0.85484,                0.94029,                0.96817,                0.78948,                0.81109,                0.55122,                 1.2301,             0.00078022,             0.00078022,             0.00078022
                    113,                 0.3557,                0.64357,                0.91969,                0.90363,                 0.9113,                 0.9839,                 0.7677,                0.87531,                0.58029,                 1.3375,             0.00077824,             0.00077824,             0.00077824
                    114,                0.38075,                0.68783,                0.93485,                0.83473,                0.94076,                0.96392,                0.76276,                0.83673,                0.54095,                 1.2507,             0.00077626,             0.00077626,             0.00077626
                    115,                0.37881,                0.72155,                0.94845,                0.87973,                 0.9405,                0.94734,                0.73921,                0.88037,                0.57625,                  1.296,             0.00077428,             0.00077428,             0.00077428
                    116,                0.36376,                0.67119,                0.92597,                0.81315,                0.95205,                0.95846,                0.72922,                0.93867,                0.62989,                 1.3503,              0.0007723,              0.0007723,              0.0007723
                    117,                0.37052,                0.65584,                0.92651,                0.92742,                0.89683,                0.96529,                0.76346,                 0.8391,                0.50984,                 1.3026,             0.00077032,             0.00077032,             0.00077032
                    118,                0.34476,                0.67618,                0.92077,                0.90329,                0.89164,                 0.9656,                0.78019,                0.77533,                0.49722,                 1.2505,             0.00076834,             0.00076834,             0.00076834
                    119,                0.36249,                0.63271,                0.91903,                0.89847,                0.83148,                0.91904,                0.73961,                0.78238,                0.66125,                  1.251,             0.00076636,             0.00076636,             0.00076636
                    120,                 0.3361,                0.64507,                0.90959,                0.90214,                0.88479,                0.95733,                0.76387,                0.78801,                0.53403,                 1.2523,             0.00076438,             0.00076438,             0.00076438
                    121,                0.35631,                0.67875,                0.92865,                0.94223,                0.93191,                0.96355,                0.76611,                 0.8262,                0.50892,                 1.2431,              0.0007624,              0.0007624,              0.0007624
                    122,                0.33755,                 0.6045,                0.90841,                 0.8823,                0.92993,                0.96469,                0.76121,                 0.8413,                0.56331,                 1.2834,             0.00076042,             0.00076042,             0.00076042
                    123,                0.35026,                0.63271,                0.91599,                0.94052,                0.92102,                0.95728,                0.78051,                0.77854,                0.46705,                  1.252,             0.00075844,             0.00075844,             0.00075844
                    124,                0.35293,                 0.6077,                0.92554,                 0.8887,                0.92326,                0.96634,                0.75039,                0.90088,                0.52273,                 1.2733,             0.00075646,             0.00075646,             0.00075646
                    125,                0.35276,                 0.6388,                0.91746,                0.89591,                0.90381,                 0.9515,                0.71913,                0.84761,                0.50564,                 1.2998,             0.00075448,             0.00075448,             0.00075448
                    126,                0.33953,                0.65425,                0.91932,                0.84272,                0.96731,                0.96707,                0.78739,                0.80485,                0.48119,                 1.2377,              0.0007525,              0.0007525,              0.0007525
                    127,                0.33102,                0.62222,                0.92439,                0.88764,                0.89909,                0.92721,                0.74086,                0.82233,                0.61232,                 1.2374,             0.00075052,             0.00075052,             0.00075052
                    128,                0.36085,                0.61544,                0.92496,                0.89796,                0.89683,                0.95679,                0.76268,                 0.8681,                0.54268,                 1.2913,             0.00074854,             0.00074854,             0.00074854
                    129,                0.35971,                0.58963,                0.92351,                0.82918,                0.99345,                 0.9573,                 0.7493,                0.86977,                0.54292,                 1.3671,             0.00074656,             0.00074656,             0.00074656
                    130,                 0.3513,                0.60369,                0.92705,                0.89282,                0.92546,                0.95387,                0.74898,                0.86358,                0.54762,                 1.2909,             0.00074458,             0.00074458,             0.00074458
                    131,                0.35152,                0.66208,                0.91889,                0.92283,                 0.8644,                0.95998,                0.74706,                0.84276,                 0.5689,                 1.3173,              0.0007426,              0.0007426,              0.0007426
